"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"168" "AT1G02630" -1.3621 -1.2797 -2.80121 -0.42287 -3.09952 -0.46399
"169" "AT1G02640" 0.842919999999999 1.67479 -1.3846 1.23134 0.417 3.50856
"170" "AT1G02650" 2.64516 7.98709 -0.604699999999999 -0.00810999999999851 8.0318 3.2096
"171" "AT1G02660" 0.47785 2.18903 2.2285 1.89225 5.09588 58.67561
"172" "AT1G02670" 0.28939 4.21309 0.461740000000001 4.43965 7.08952 6.89194
"173" "AT1G02680" 7.22094 5.55314 12.2721 5.71555 4.40475 13.66971
"175" "AT1G02690" 4.83585 10.63475 1.32122 2.8783 7.977 0.63893
"176" "AT1G02700" -0.64886 0.54531 -1.81438 -1.25907 0.63809 -0.92375
"177" "AT1G02705" -1.61266 -1.68178 -0.795710000000001 -1.30407 -2.04663 -1.81474
"178" "AT1G02720" 0.40076 2.47472 6.47828 0.19304 0.0575799999999997 5.65453
"179" "AT1G02730" 0.651050000000001 2.9658 6.90803 2.34441 4.98601 6.0521
"180" "AT1G02740" 6.76974 9.78424 4.17034 6.4646 11.9632 8.93186
"181" "AT1G02750" 6.23515 8.27865 15.45548 5.16863 10.80053 8.69139
"182" "AT1G02770" 0.55555 0.693899999999999 7.16273 0.52684 2.4937 -0.67225
"183" "AT1G02780" 2.01139 2.64694 71.6422 -2.56174 1.71869 46.22522
"184" "AT1G02790" -2.93591 -3.44284 -2.68983 -1.61779 -2.46286 0.74122
"185" "AT1G02800" 1.91139 4.96188 0.0796800000000006 -3.26671 1.66387 -3.65067
"186" "AT1G02810" 1.29364 0.37422 1.13025 3.5771 -1.21625 -3.08127
"187" "AT1G02813" -1.12019 2.79666 0.11159 -1.0531 -0.0523000000000007 4.2738
"188" "AT1G02816" 1.49961 2.91417 8.64299 -0.4607 3.68437 9.37414
"189" "AT1G02820" 0.134169999999999 4.88634 -0.95491 -0.328990000000001 4.57087 0.97153
"190" "AT1G02830" -2.24134 -1.3069 -2.96038 2.21837 -0.46855 -0.59624
"191" "AT1G02840" 5.63514 4.67844 47.87825 -0.556000000000001 2.1902 31.98193
"192" "AT1G02850" 3.86779 8.86729 6.15998 0.8406 7.8939 1.11989
"193" "AT1G02860" 2.30687 5.40219 12.90879 5.45834 7.39434 4.0729
"194" "AT1G02870" 2.24925 3.79085 12.59039 5.04357 7.89235 3.96696
"195" "AT1G02880" 4.37424 7.11714 10.02773 3.53927 5.67837 1.08345
"196" "AT1G02890" 4.75024 13.20414 30.84714 2.87932 17.058 13.08927
"197" "AT1G02900" -2.69998 0.517300000000001 1.86243 0.31277 3.07542 3.69564
"198" "AT1G02910" 1.76082 3.6084 20.23059 -0.322290000000001 5.15178 12.39353
"199" "AT1G02920" -1.39443 -1.67302 -0.143109999999999 1.78545 -0.27589 -1.48722
"200" "AT1G02930" -0.02555 0.57542 0.52537 0.8731 0.00135000000000041 -1.50106
"201" "AT1G02940" -1.43663 -2.13531 -2.89673 -3.98988 -4.17863 -5.46768
"202" "AT1G02950" -0.57221 -1.73955 -3.26279 1.87309 -0.24775 -3.13976
"204" "AT1G02960" 2.867 3.94699 9.39113 6.19397 5.26267 3.15618
"205" "AT1G02965" 1.50261 0.15344 0.81187 1.02396 3.07491 0.32979
"206" "AT1G02970" 3.56434 5.29844 0.700480000000001 2.26248 3.38018 -1.14812
"207" "AT1G02980" 1.5767 4.09689 7.25823 2.66572 5.15147 4.11442
"208" "AT1G02990" 6.28229 8.11989 6.84443 6.33909 10.85529 3.82647
"209" "AT1G03000" 1.87668 5.9101 17.04719 3.89847 11.63075 12.031
"210" "AT1G03010" -1.27991 -1.2258 -0.52518 0.633649999999999 -0.108910000000001 -2.69838
"211" "AT1G03020" 1.123 0.0294499999999998 -2.35557 -0.7126 -2.40683 -1.47478
"212" "AT1G03030" 7.90189 14.24829 30.3219 4.00479 11.04999 12.7911
"213" "AT1G03040" 4.72278 9.22668 30.52885 4.27586 9.08335 13.34441
"214" "AT1G03050" -0.70331 1.72271 -0.50923 1.4885 2.5775 -2.16768
"215" "AT1G03055" 4.48809 16.58789 -0.27048 0.72177 18.49797 -2.01565
"216" "AT1G03060" 3.84405 3.64675 18.97314 2.1935 4.34904 13.08272
"217" "AT1G03070" 0.37098 2.7494 12.22434 -0.995649999999999 1.35885 3.47862
"218" "AT1G03080" 3.69566 6.93989 12.52679 2.17482 6.23169 3.32662
