ID	WT1	WT2	atx345_1	atx345_2	
AT1G05065	12	5	2	5
AT1G05070	60	30	66	94
AT1G05080	0	0	0	0
AT1G05085	0	0	0	0
AT1G04327	0	0	0	0
AT1G04333	0	0	0	0
AT1G05087	2	6	7	14
AT1G05090	0	1	1	1
AT1G05100	5	6	2	4
AT1G05120	24	30	69	76
AT1G05135	1085	654	332	377
AT1G05136	0	0	0	0
AT1G05140	492	238	209	325
AT1G05150	112	99	166	226
AT1G05160	17	39	47	39
AT1G05170	142	32	51	121
AT1G04337	0	0	0	0
AT1G05180	95	100	294	254
AT1G05190	621	566	806	933
AT1G05200	51	71	70	91
AT1G04343	0	0	0	0
AT1G05205	13	12	26	30
AT1G04347	0	0	1	2
AT1G05210	40	19	46	26
AT1G05220	0	2	0	1
AT1G04353	0	0	0	0
AT1G05230	35	13	49	46
AT1G05240	0	0	2	0
AT1G04357	1	2	1	3
AT1G04363	0	0	0	0
AT1G04367	1	1	2	0
AT1G05250	0	0	0	0
AT1G05260	12	3	2	7
AT1G05270	241	236	293	346
AT1G05280	0	0	0	0
AT1G04373	0	0	0	0
AT1G05290	0	0	0	0
AT1G05291	0	0	0	0
AT1G04377	0	0	0	0
AT1G04383	0	0	0	0
AT1G04387	0	0	0	0
AT1G05300	20	31	220	53
AT1G05310	17	12	15	18
AT1G05320	12	2	16	5
AT1G05330	0	0	3	2
AT1G05340	17	17	105	69
AT1G05350	41	74	176	181
AT1G05360	70	44	55	70
AT1G05370	32	18	4	8
AT1G05380	62	52	94	82
AT1G05385	92	79	57	64
AT1G05390	0	0	0	0
AT1G05400	10	7	7	7
AT1G05410	21	26	62	54
AT1G05420	13	4	4	8
AT1G05430	92	77	106	151
AT1G05440	3	3	2	8
AT1G05450	1	0	2	0
AT1G05460	23	13	58	78
AT1G05470	12	26	24	42
AT1G05490	0	0	2	1
AT1G05500	119	176	275	268
AT1G05510	0	0	0	0
AT1G05520	193	201	286	358
AT1G05530	0	0	0	0
AT1G05540	76	35	1	11
AT1G05550	7	3	0	0
AT1G05562	0	0	0	0
AT1G05560	0	0	0	0
AT1G05570	74	112	612	597
AT1G04397	1	0	0	0
AT1G05575	13	46	29	14
AT1G05577	0	1	0	0
AT1G05580	0	0	0	0
AT1G05590	98	111	114	165
AT1G05600	28	22	40	39
AT1G05610	4	0	5	5
AT1G05615	0	0	0	0
AT1G05620	100	58	35	32
AT1G05630	35	62	145	194
AT1G05640	1	3	5	9
AT1G05650	0	0	0	0
AT1G04403	0	0	0	0
AT1G05660	0	0	0	0
AT1G05670	14	17	25	34
AT1G05675	5	65	46	34
AT1G05680	2	0	83	107
AT1G05690	59	24	18	42
AT1G05700	0	0	0	1
AT1G04407	0	0	0	0
AT1G05710	78	18	58	106
AT1G05720	31	21	38	44
AT1G04413	0	0	0	0
AT1G05730	2	0	12	12
AT1G04417	1	0	0	0
AT1G05740	0	0	0	0
AT1G05750	20	17	51	47
AT1G05760	0	0	0	0
AT1G05770	6	2	2	3
AT1G05780	4	13	2	1
AT1G05783	0	0	0	2
AT1G04427	0	0	1	0
AT1G05785	51	20	40	20
AT1G05790	24	44	77	80
AT1G05800	0	0	0	0
AT1G05805	38	137	285	119
AT1G05810	46	49	56	63
AT1G05820	10	9	9	3
AT1G05830	53	61	130	165
AT1G05835	2	0	1	0
AT1G04433	0	0	0	0
AT1G05840	108	171	220	141
AT1G04437	0	0	0	1
AT1G05850	1882	3380	2063	2903
AT1G05860	18	18	26	43
AT1G05870	160	64	48	130
AT1G05880	0	0	12	21
AT1G05890	96	142	370	314
AT1G05894	0	0	1	0
AT1G05900	39	44	38	88
AT1G05910	31	20	76	92
AT1G05920	0	0	0	0
AT1G05930	1	0	0	0
AT1G05940	331	276	310	284
AT1G05950	9	7	10	18
AT1G05960	87	92	152	164
AT1G05970	40	42	77	62
AT1G05980	0	0	0	0
AT1G05990	0	0	1	0
AT1G06002	0	0	0	0
AT1G06000	0	0	0	0
AT1G06010	76	36	63	51
AT1G06020	1	0	4	1
AT1G06030	0	1	0	0
AT1G06040	1348	1063	814	1116
AT1G06045	0	0	0	0
AT1G06050	31	31	49	36
AT1G06060	71	98	127	120
AT1G06070	33	22	51	61
AT1G04443	0	0	0	0
AT1G06080	41	31	24	49
AT1G06090	6	4	3	3
AT1G06100	17	8	22	19
AT1G06110	124	165	197	122
AT1G06120	0	0	0	0
