ID	ATX1-tag_hub	ATX2_tag_hub	ATX1_tag	ATX2_tag
AT1G56110	7.28023	8.22189	13.841	14.0873
AT1G56120	5.05571	4.3569	7.79172	6.58518
AT1G56130	6.20167	7.1678	7.03556	8.00225
AT1G56140	6.87577	8.57326	10.6191	9.33596
AT1G56145	5.6961	5.09476	6.1479	4.41791
AT1G56150	5.29165	4.91908	5.39174	4.83469
AT1G56160	3.06713	3.9704	3.3534	2.66742
AT1G56165	13.01	12.5788	39.5175	55.5989
AT1G56170	11.5944	13.8437	31.6272	46.9298
AT1G56180	9.33622	9.06516	13.9067	13.5871
AT1G56190	11.0552	9.45166	17.7862	20.5058
AT1G56200	8.99917	8.04621	6.60817	6.66854
AT1G56210	2.39304	4.18122	6.41091	3.75105
AT1G56220	4.9546	3.02172	3.48491	8.16896
AT1G56225	4.92089	2.63522	3.12326	1.33371
AT1G56230	4.81978	4.7434	6.01639	5.91833
AT1G56240	3.30307	3.61904	3.84655	3.6677
AT1G56242	3.64011	3.93526	2.99176	3.50098
AT1G56250	3.33677	3.44336	3.22189	1.83385
AT1G56260	6.57243	8.04621	10.1917	9.41931
AT1G56270	4.55014	3.93526	4.14244	3.91777
AT1G56280	4.78607	7.69485	8.81089	9.08588
AT1G56290	12.0663	8.92462	13.052	14.7541
AT1G56300	5.39276	4.3569	7.75885	7.41875
