ID	ATX1_hub	ATX2_hub	ATX2	ATX1	
AT1G04823	5.83816	8.06911	11.8568	6.14785
AT1G04827	6.47893	7.4372	8.30478	8.06598
AT1G04830	8.82843	12.1523	9.15527	10.2792
AT1G04833	3.77344	7.4372	8.30478	5.65603
AT1G04837	5.05499	6.22197	7.90455	8.21353
AT1G04840	8.68604	7.4372	8.95516	8.41026
AT1G04850	9.25561	13.7564	12.9575	10.9186
AT1G04860	6.97731	9.28434	8.20473	10.0825
AT1G04863	6.83491	10.3537	9.35539	5.70521
AT1G04870	10.6084	12.0065	13.7079	8.55781
AT1G04880	4.91259	6.75667	6.90398	4.81992
AT1G04887	4.27182	4.86091	6.85395	3.88544
AT1G04890	2.84788	2.52767	3.35193	3.73789
AT1G04900	6.26534	10.8884	13.2576	8.55781
AT1G04910	7.33329	10.694	11.8568	8.0168
AT1G04917	7.90287	7.53441	8.65499	9.19719
AT1G04920	7.1197	8.16633	9.65556	7.47579
AT1G04923	3.70225	3.25681	2.70156	4.22972
AT1G04930	9.11322	10.0621	11.9569	8.06598
AT1G04933	5.26858	5.44422	5.25303	3.19688
AT1G04940	9.04202	10.3051	11.5066	9.09882
AT1G04945	8.68604	9.62461	12.7073	10.6235
AT1G04950	16.3041	11.9092	13.6078	12.2957
AT1G04953	3.13267	4.52065	6.05349	4.13136
AT1G04960	8.11646	14.2425	12.8574	12.4924
AT1G04970	7.83167	15.2633	11.8068	13.3285
AT1G04973	4.7702	7.53441	8.30478	6.5905
AT1G04977	5.48217	6.22197	6.10352	4.96747
AT1G04980	7.83167	9.13852	11.3565	11.6071
AT1G04985	9.75399	14.048	9.15527	8.45945
AT1G04990	7.61808	10.8398	11.5066	7.22988
AT1G05000	6.33654	7.63163	8.1547	4.91828
AT1G05005	3.70225	6.07614	4.15239	5.11501
AT1G05010	5.26858	9.72182	6.95401	6.09867
AT1G05020	5.90935	6.85389	6.00346	6.24622
AT1G05027	4.55661	5.00674	5.10294	4.96747
AT1G05030	7.68928	8.21494	9.10524	7.77089
AT1G05035	6.90611	5.20118	6.40369	5.36093
AT1G05040	5.69576	3.30542	4.90282	3.68871
AT1G05043	6.62132	7.77746	10.0058	6.24622
AT1G05055	10.8219	9.91626	9.50548	11.4596
AT1G05060	8.33005	8.99269	6.6038	8.16435
AT1G05061	7.47569	8.16633	8.75504	6.04949
AT1G05065	7.90287	9.38156	7.00403	6.8856
AT1G05067	4.699	8.02051	4.60265	5.90194
AT1G05070	10.3948	11.1801	12.5572	11.3121
AT1G05080	9.75399	9.52739	10.1558	7.32824
AT1G05083	8.68604	9.62461	10.1058	9.4431
AT1G05085	5.98055	6.17336	6.90398	7.47579
AT1G05087	11.3203	13.6592	23.4635	12.1482
AT1G05090	4.62781	3.93734	5.45314	5.11501
AT1G05093	4.98379	13.5133	11.9569	9.93493
AT1G05100	8.25886	3.88873	5.9034	4.22972
AT1G05120	6.40773	7.04832	8.45487	8.70536
AT1G05133	5.98055	4.47204	5.35308	3.24607
AT1G05135	8.25886	6.22197	8.40484	6.63968
AT1G05140	10.3236	13.5133	17.9103	11.1153
AT1G05147	6.90611	3.64568	5.35308	3.59035
AT1G05150	9.11322	12.2009	14.6084	10.6235
AT1G05153	4.8414	4.22899	2.70156	4.81992
AT1G05157	7.1197	7.92329	7.10409	7.67252
AT1G05160	7.1197	9.81904	11.2065	11.1645
AT1G05163	10.6084	11.6662	10.2059	12.9351
AT1G05167	4.48541	3.88873	2.10121	4.47564
AT1G05170	6.97731	13.4647	11.3065	8.65618
AT1G05180	7.83167	8.74964	7.15412	6.49213
AT1G05183	8.75723	9.81904	9.85568	9.49229
AT1G05187	5.41097	6.3678	7.25418	6.8856
AT1G05190	11.3915	9.86765	9.70559	9.04964
AT1G05200	7.54689	11.7634	11.7568	10.8202
AT1G05205	10.466	10.9857	14.8586	10.4759
AT1G05210	9.75399	8.26355	13.5078	11.8039
AT1G05213	7.47569	8.36077	6.15354	6.24622
AT1G05220	5.83816	7.14554	7.30421	9.34474
AT1G05230	3.63105	4.95813	3.50202	4.22972
AT1G05240	5.69576	7.9719	7.65441	7.82007
AT1G05250	3.06147	2.86794	3.80219	3.19688
AT1G05260	4.05823	6.51362	4.8528	3.29525
AT1G05267	6.97731	6.80528	8.00461	9.4431
AT1G05270	4.98379	7.72885	5.5532	5.1642
AT1G05277	7.1909	8.74964	7.85452	7.96762
